id_municipio,nome_municipio,sigla_uf,regiao,rede,ctx_taxa,meta_2024,gap_projetado,taxa_observada,meta_do_ano,nao_atingiu_meta,prob_nao_atingir_meta,faixa_risco,particao,n_alunos_avaliados,ibge_populacao,ibge_pib_per_capita
3163102,São José da Varginha,MG,Sudeste,publica,55.14,59.26,4.12,82.68,59.26,0,0.0556,baixo,teste,,4677.0,29267.48
3144201,Nacip Raydan,MG,Sudeste,municipal,58.67,62.21,3.54,62.86,62.21,0,0.0555,baixo,teste,25.0,2437.0,16674.6
5213772,Montividiu do Norte,GO,Centro-Oeste,publica,59.37,62.79,3.42,65.74,62.79,0,0.0553,baixo,treino,,3770.0,32895.23
5205703,Córrego do Ouro,GO,Centro-Oeste,publica,77.4,77.79,0.39,100.0,77.79,0,0.0553,baixo,treino,,2456.0,35574.1
5212105,Joviânia,GO,Centro-Oeste,municipal,57.9,61.57,3.67,67.17,61.57,0,0.0552,baixo,treino,79.0,7247.0,58391.75
5212105,Joviânia,GO,Centro-Oeste,publica,57.9,61.57,3.67,67.17,61.57,0,0.0552,baixo,treino,,7247.0,58391.75
3110202,Cajuri,MG,Sudeste,municipal,64.21,66.8,2.59,69.57,66.8,0,0.0551,baixo,treino,46.0,4186.0,30648.83
5219506,Santa Rosa de Goiás,GO,Centro-Oeste,publica,80.22,80.0,-0.22,100.0,80.0,0,0.055,baixo,treino,,2837.0,35522.38
3103702,Araponga,MG,Sudeste,municipal,47.06,52.43,5.37,91.67,52.43,0,0.0549,baixo,treino,12.0,8218.0,17446.7
3129202,Heliodora,MG,Sudeste,publica,48.35,53.53,5.18,67.59,53.53,0,0.0549,baixo,teste,,6274.0,25014.82
1717800,Ponte Alta do Bom Jesus,TO,Norte,publica,9.52,15.03,5.51,44.56,15.03,0,0.0549,baixo,treino,,4295.0,19209.08
5213772,Montividiu do Norte,GO,Centro-Oeste,municipal,59.37,62.79,3.42,65.74,62.79,0,0.0548,baixo,treino,35.0,3770.0,32895.23
3121258,Delta,MG,Sudeste,municipal,50.98,55.77,4.79,47.77,55.77,1,0.0547,baixo,treino,110.0,11003.0,64387.8
3101607,Alfenas,MG,Sudeste,publica,55.04,62.52,7.48,73.41,62.52,0,0.0547,baixo,treino,,81950.0,44782.17
3150539,Pingo-d'Água,MG,Sudeste,publica,34.7,41.49,6.79,81.43,41.49,0,0.0546,baixo,treino,,4845.0,14477.19
3146206,Ouro Verde de Minas,MG,Sudeste,publica,51.25,55.99,4.74,78.41,55.99,0,0.0546,baixo,treino,,5858.0,14913.45
3139409,Manhuaçu,MG,Sudeste,municipal,48.41,53.58,5.17,71.73,53.58,0,0.0545,baixo,treino,493.0,96545.0,38434.28
3135407,Jeceaba,MG,Sudeste,publica,67.57,69.58,2.01,88.66,69.58,0,0.0544,baixo,treino,,6428.0,262874.14
3129004,Guiricema,MG,Sudeste,municipal,44.72,50.41,5.69,82.89,50.41,0,0.0544,baixo,treino,42.0,7850.0,17309.55
3135407,Jeceaba,MG,Sudeste,municipal,67.57,69.58,2.01,88.66,69.58,0,0.0544,baixo,treino,70.0,6428.0,262874.14
3107406,Bom Despacho,MG,Sudeste,municipal,42.86,48.79,5.93,65.88,48.79,0,0.0544,baixo,treino,284.0,53995.0,40618.8
3134301,Itumirim,MG,Sudeste,estadual,64.29,62.66,-1.63,95.45,62.66,0,0.0544,baixo,treino,22.0,6845.0,16211.4
3124807,Estrela do Sul,MG,Sudeste,publica,55.81,52.24,-3.57,75.81,52.24,0,0.0543,baixo,treino,,6926.0,66171.38
5219803,São Domingos,GO,Centro-Oeste,municipal,45.68,51.24,5.56,65.94,51.24,0,0.0541,baixo,treino,94.0,9581.0,28891.87
1704105,Centenário,TO,Norte,municipal,23.33,30.54,7.21,66.67,30.54,0,0.054,baixo,treino,30.0,2135.0,51206.09
1703909,Caseara,TO,Norte,publica,17.04,23.89,6.85,31.53,23.89,0,0.054,baixo,treino,,5009.0,94727.09
5212907,Marzagão,GO,Centro-Oeste,publica,92.15,80.0,-12.15,83.33,80.0,0,0.0538,baixo,treino,,2893.0,26367.44
3172004,Visconde do Rio Branco,MG,Sudeste,municipal,56.33,60.26,3.93,65.77,60.26,0,0.0534,baixo,treino,97.0,40608.0,50538.76
3150208,Piedade de Ponte Nova,MG,Sudeste,publica,35.21,41.95,6.74,80.01,41.95,0,0.0534,baixo,treino,,4056.0,18788.71
3150539,Pingo-d'Água,MG,Sudeste,municipal,34.7,41.49,6.79,81.43,41.49,0,0.0533,baixo,treino,48.0,4845.0,14477.19
5212907,Marzagão,GO,Centro-Oeste,municipal,92.15,80.0,-12.15,83.33,80.0,0,0.0533,baixo,treino,48.0,2893.0,26367.44
3114105,Carmo de Minas,MG,Sudeste,municipal,56.53,60.43,3.9,71.02,60.43,0,0.0533,baixo,treino,119.0,14114.0,23400.03
3104403,Argirita,MG,Sudeste,publica,55.13,59.26,4.13,89.33,59.26,0,0.0533,baixo,treino,,2725.0,18852.11
3106903,Bicas,MG,Sudeste,publica,45.18,50.81,5.63,70.71,50.81,0,0.0533,baixo,teste,,14331.0,24945.29
3126406,Fortuna de Minas,MG,Sudeste,publica,59.25,62.69,3.44,90.83,62.69,0,0.0532,baixo,treino,,3207.0,22126.91
3126109,Formiga,MG,Sudeste,publica,67.98,69.05,1.07,85.91,69.05,0,0.0531,baixo,treino,,70668.0,42017.09
5221197,Terezópolis de Goiás,GO,Centro-Oeste,publica,57.84,61.52,3.68,71.39,61.52,0,0.0528,baixo,treino,,8243.0,31353.63
